rating,review_text,sentiment,predicted_sentiment
5,its good,1,1
5,whatsapp not working well always shows offline please sort out my problem,1,1
5,oppo not corresponding share with me the official app oppor7,1,1
5,excellent app great communication super connect that wonderful easy to connect especially overseas platforms,1,1
4,simply the est for chat and callsi love it,1,1
5,good but i need whatsapp premium features,1,1
5,awesome i just need it to download and install,1,1
5,very nice app thnx so much,1,1
2,whatsapp web not working camera focus not working,0,0
5,nice and good to use,1,1
5,this account can no longer use watsapp due to spam kyu ho raha hey,1,0
4,forever controversy workshop lawyer carbon insurance hide glad violate raise good rush cop blame adolescent intensity lower opportunity survey steal burn bag adventure board option,1,1
4,ive been using this app for years and i just absolutely love all the features recently the app has introduced a new chat lock feature and i would say that this feature is a very needed one as well because ive been struggling with some privacy issues personal i cannot use this feature on my redmi 8a dual because its an older phone and im terribly disappointed could you please let the users of older phones also have this feature it would be very useful expecting a quick response,1,0
1,they banned my account more than 9 times i didnt know what i did,0,0
1,bad every day ban whatsapp,0,0
5,its the most convenient and easytouse application for a communication with your international friends colleagues customers ,1,1
5,install it very good application,1,1
1,my whatsap was hacked,0,1
5,not like othersits better,1,1
5,im still a novice with this app i need help,1,1
1,whatsapp are poor quality server,0,0
5,i want to upgrade my whatsapp please,1,0
5,nicely done,1,1
5,my name is amobi chris i am giving whatsapp 5 star review to show my appreciation for restoring my account back to my i love whatsapp ,1,1
5,better than viber and skype thank you for giving replys  bye,1,1
2,chat wallpaper flickering this update,0,0
1,i try to change my number i did not get the code now i dot have whatsapp anymore just a permanent screen that prompt me to send a code that dont work and it doesnt show my chat anymore i cannot use anymore a qr code would be so much better i give you 1 star,0,0
5,use facebook account,1,1
5,it ok,1,1
5,very useful app ever,1,1
4,thanks you,1,1
5,this is so straight enough imagine sometimes it with only 3mbs thats amazing,1,1
5,whatsapp good bat net slow end call,1,1
4,it does what its meant to do i guess meta ai sucks,1,0
1,please give us fieture tag everyone we neeeeeed thisssss,0,0
5,i want you to add a feature in contacts to hide someones contact so my wife wouldnt know that whos number is this she is very suspicious,1,0
5,its a good app for people message from far away i love whatsapp,1,1
5,its quite interesting but sometimes runs slow but i love it,1,1
4,this is my mostly used communication app and i love this app,1,1
4,easy to use,1,1
1,trying unmute most of contact and messages but not responding looks like no broker hacker is using my duplicate ph no and airtell no privacy and giving all access to hacker,0,0
5,new cover whatsapp maseenger,1,1
4,send otp,1,1
1,i cant understand this new feature can any one please understand me the same features,0,0
1,this account can no longer use whatsapp business recent activity on this account does not follow the whatsapp business terms of service on sending spam or other impermissible communications this accounts business info and chats are still on this device,0,0
2,this whatsapp its very hassle why because im log in today then tomorrow i cant open it because may account is spam why i hope fix it,0,0
1,no quick respond from others,0,1
5,it is nice,1,1
4,hello ive been recently having problem with gifs they wont load i searched in google and it said to clear cache but will clearing cache loose all my messages,1,0
5,l need my whats app back,1,1
5,sir please unbanned my whatsapp,1,1
5,bad  service in pakistan otherwise it will be finished,1,1
5,nice and cool very nice actually,1,1
5,you need the official whatsapp to log in  you need the official whatsapp to log in problem aapko whatsapp login karte waqt error aa raha hai you need the official whatsapp to log in ya phir this account can no longer use whamore,1,1
1,whats app is not open,0,1
5,is the best app,1,1
5,very nice  good to use simple to learn,1,1
5,verification code is not received my mobile,1,0
1,nothing better since my last update every morning when i tried to check messages on my phone its only spammed messages i seeyet i didnt violet your terms of service whats wrong with this platform now it was reliable way to use for different purposes but now its not work like that,0,0
5,it messages easily to everyone and i like this app so much,1,1
1,it keeps sending me out and its annoying plz stop it,0,0
5,the problem i have here is i cant download profile pictures  the same way i cant take screenshots too,1,0
5,i need to asst about my whatsappa account,1,1
4,i star 4 because i want a little bit but very helpful change in whatsapp pls add the option to cut part in video note and also increase the timeline of video note,1,1
1,not open whatsapp,0,1
4,it is normal,1,1
