review_id,rating,review_text,review_date,helpful,score,predicted_score
964d3555-9429-4c20-8127-ce3c71ce9273,5,whatsapp not working well always shows offline please sort out my problem,11/24/2025 20:03,0,3,2
6c28859f-1554-4ca1-9aa8-9d66f204be0a,5,oppo not corresponding share with me the official app oppor7,11/25/2025 6:26,0,3,3
a7efafc3-5871-4020-a398-9cc12cb4072a,5,excellent app great communication super connect that wonderful easy to connect especially overseas platforms,11/25/2025 18:09,0,1,1
de142b31-a5ad-446f-b7c8-51b264728478,4,simply the ɓest for chat and callsi love it,11/24/2025 1:10,1,1,1
8b0ffc3b-d7d0-4198-8ce0-763674359246,5,good but i need whatsapp premium features,11/26/2025 16:42,0,1,2
XCdQN9L5-PsBJ-ftUV-Ov6H-Na1v3f0JxTLs,4,learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning learning,25/11/2025 06:54,1,4,4
18294fa1-0410-4476-970f-33f188b0abfe,5,awesome i just need it to download and install,11/22/2025 20:27,0,5,2
c9fd6209-d8ed-482e-9b03-68cc2100fed0,5,very nice app thnx so much,11/22/2025 15:53,0,1,1
75b5068d-6b9b-4aa6-a069-abdb6bfc6388,5,really really apriacite 100,11/26/2025 17:06,0,2,1
af00686c-ff52-492f-8226-206ebce0581e,2,whatsapp web not working camera focus not working,11/26/2025 17:29,0,5,2
accb4824-3408-4741-8e7d-5c99872e6490,5,nice and good to use,11/23/2025 14:14,0,1,1
yCFYcpXx-Pbbd-pF7p-8QVK-RkohTQWNE5Fq,4,forever controversy workshop lawyer carbon insurance hide glad violate raise good rush cop blame adolescent intensity lower opportunity survey steal burn bag adventure board option,21/11/2025 16:27,1,2,5
70723c52-cf26-4d85-b444-f5521f2aae4a,1,i can't open my whatsapp whenever i open it it close automatically please help its very urgent,11/25/2025 23:58,0,3,2
1bb4e283-d52b-4ffb-9e81-1f80c27baa0b,1,bad every day ban what'sapp,11/22/2025 15:00,0,5,3
dd96f58c-5f97-4fb5-b315-94e6f59de624,5,it's the most convenient and easytouse application for a communication with your international friends colleagues customers,11/26/2025 14:37,0,3,1
1e8c2e8d-3d12-46b1-aceb-00cc0e3a3024,5,install it very good application,11/26/2025 18:03,0,4,1
11ee0460-eb73-4226-870c-a6a5941fe56c,1,my whatsap was hacked,11/22/2025 17:26,0,5,2
e7407e3d-c68c-482a-b169-05ccc0b5e6ba,5,not like othersits better,11/22/2025 21:20,0,2,2
